strain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150
ALE3,0.90431278,0.911314051,0.915845878,0.917992054,0.92039367,0.920541259,0.925092719,0.924876798,0.922612006,0.92177504,0.920294053,0.914972229,0.921620545,0.921373528,0.917544304,0.989566361,1.211663838,1.674260426,2.633332917,3.920173746,6.072314121,8.51628738,11.54091778,14.42680161,18.3557706,19.96776992,21.62247097,21.36520426,20.63085506,20.33138546,19.69739962,19.15478866,18.48809048,17.9819288,17.52663168,17.0171683,16.59320895,15.93725207,15.77479091,15.43799443,15.09329573,14.7766937,14.55455017,13.98045711,13.74244987,13.40466811,13.22019443,12.99341675,12.72665458,12.56565692,12.36427672,12.20076397,11.97235406,11.84400536,11.64871277,11.47923972,11.39593101,11.20758777,11.09242373,10.97645972,10.87842043,10.76210459,10.64312141,10.58889487,10.45167451,10.30152901,10.20341445,10.08760692,9.9902324,9.874025796,9.74480765,9.712659264,9.6226066,9.447105508,9.320561908,9.370165706,8.935709073,8.888508926,8.944686887,8.743419802,8.522995779,8.556965931,8.571063,8.547965779,8.312537215,8.071841159,7.757252844,7.923938436,8.552756328,8.444689587,8.535751011,8.46723291,8.346303509,8.266831565,8.260533641,8.276681618,8.014360825,7.8026767,7.914369456,8.002041843,7.801207587,7.770808866,7.83331974,7.626009758,7.448847588,7.573874333,7.604163879,7.842304047,7.747781719,7.878746918,7.736369818,7.879451156,7.857380901,7.699342148,7.642744649,7.501031835,8.018671254,8.103049347,7.725928794,6.851526465,5.851870087,5.688820939,5.726896654,5.743159958,5.113123169,8.707316438,8.55310507,8.700463755,8.156464294,8.205828101,7.919935042,7.971314497,8.327413278,8.64255568,8.902212216,9.135852412,9.417136379,13.90911134,14.08910421,14.16780938,14.1309235,14.30978692,14.32072248,14.53837981,14.59175729,14.3911711,14.43416517,14.15595003,13.74685922,13.93239311
ALE3,0.860042763,0.86437814,0.873882224,0.879177428,0.876296692,0.875129316,0.890143843,0.893770657,0.895713848,0.898216384,0.900937823,0.903849446,0.915588595,0.896139637,0.892615229,1.012431743,1.401967351,2.252306914,3.842626781,5.892163865,8.894031406,12.21588909,15.70560559,18.62500383,20.4425247,19.66126238,19.56148054,19.09550213,18.49316982,17.99363669,17.52478757,17.10502047,16.62994383,16.38949601,16.08489428,15.81558829,15.46610227,14.9865141,14.76170898,14.56380333,14.20238969,13.97606832,13.73688428,13.28296992,13.08312702,12.89571488,12.61557086,12.48783416,12.16656513,12.05144307,11.95409043,11.78626878,11.58826258,11.53838348,11.41276811,11.27098747,11.22961631,11.08593062,11.00138812,10.94849387,10.87691184,10.83763722,10.73498376,10.72015851,10.61547373,10.52479589,10.4971508,10.36324748,10.31494941,10.23969721,10.19141516,10.16070298,10.07106081,10.01696438,9.962908653,9.916870046,9.889908472,9.721551495,9.672785857,9.587574464,9.526268726,9.501081475,9.552562831,9.536304295,9.492879585,9.294418656,9.307866986,9.257602109,9.253515259,9.172445816,9.211280951,9.158961445,9.187058899,9.119794084,9.096734045,9.125327234,9.181520148,9.253490449,9.312734691,9.408052012,9.336157994,9.409007523,9.427478833,9.383231673,8.885537285,9.058970083,9.178650587,9.033876342,8.956721585,8.84723213,8.851110942,8.764765961,8.882022572,8.4316026,8.207478475,7.784320248,7.102495516,7.132706936,6.880754317,6.704950561,6.626978826,6.432044059,6.170778133,5.930681209,5.641443933,8.167102541,8.463379626,8.271976005,8.422388813,8.362954456,8.991166436,9.165344254,8.420641085,8.096353818,7.928772802,7.925855791,8.133066432,12.39080341,12.72662972,12.7124731,12.82297702,12.85576954,12.95714366,13.15398815,13.27202335,13.12554749,13.25865189,13.02936496,12.861504,12.8905237
ALE3,0.933640821,0.939192696,0.941370937,0.943507954,0.947825799,0.948837752,0.947916172,0.942444404,0.946778141,0.949753231,0.948850519,0.947160578,0.955971632,0.961332312,0.956980507,1.053555983,1.364919482,1.84371487,2.747457344,3.811630788,5.448300976,7.49016195,9.95826991,12.4425226,15.80380919,18.07827044,20.92949015,22.484685,23.08902691,22.96569286,22.45511674,21.91950122,21.47671867,21.04561414,20.44431105,19.98877555,19.46792953,18.73016264,18.42556963,18.40786962,17.78825824,17.68094554,17.29358327,16.64991627,16.39473879,16.02724553,15.85552575,15.59940113,15.12165644,14.893622,14.77308175,14.57730377,14.1993171,14.15097357,13.83245355,13.71827644,13.57241658,13.31821407,13.1853085,13.1046248,13.05018578,12.92851474,12.80501569,12.75670516,12.58809623,12.32924225,12.26343013,12.19213333,12.15371547,12.03256976,11.96711305,12.00947342,11.92126602,11.82756712,11.90884479,11.97052085,11.93621952,11.77798564,11.78608591,11.67963529,11.64277167,11.71548542,11.87257609,11.7690048,11.74260827,11.63880667,11.63234257,11.5652918,11.67711577,11.50897645,11.74174039,11.74834846,11.73808155,10.84977234,11.05068032,11.72069711,11.90444078,12.02210586,11.93164807,12.06763691,12.090374,12.09563037,12.69443728,12.80175247,12.76073429,12.79922698,13.20594593,13.15676121,13.14868668,12.97234654,12.96469575,13.08224105,13.03995654,13.31894017,13.304301,13.30101948,9.124430196,13.75102012,13.76710029,13.6025259,13.51807546,13.62068819,13.69125286,13.60946642,13.53725773,13.1596322,12.88346433,12.86976157,12.75536865,12.91734845,12.57053791,12.29323345,11.5596381,10.91954083,10.22229469,9.587580542,8.7855225,13.04109799,13.57627156,13.06137792,12.98073147,13.21899015,13.05083717,13.44828061,13.50177899,12.95407568,13.43386002,12.96559547,12.38599668,12.50783629
ALE3,0.862540822,0.860654146,0.862254525,0.867412932,0.87594632,0.875326651,0.887464813,0.889174602,0.893875986,0.895654154,0.894604262,0.899542415,0.905842571,0.901824038,0.910627186,1.017352338,1.574839401,2.763419364,4.901080465,7.543703718,11.12510295,14.9526512,18.84396448,21.24595018,22.21361333,21.2234017,20.90330584,20.26466979,19.52643031,18.94561794,18.42325258,17.89290332,17.3944738,16.89546621,16.48808892,16.14696225,15.66895382,15.33968075,15.04728661,14.76803759,14.47401365,14.20270828,14.1190566,13.63435979,13.46024415,13.20437094,13.01963835,12.85592132,12.664633,12.49812863,12.35779966,12.1841976,12.05363925,11.92646112,11.86834873,11.69134426,11.56646245,11.41462234,11.36708615,11.24687625,11.17823373,11.03886392,10.9740669,10.80984814,10.781272,10.67773583,10.61405509,10.50405542,10.51959208,10.30761226,10.27193998,10.19305236,10.10984273,10.04689309,9.97605289,9.923581774,9.85651253,9.763381951,9.640987636,9.572435237,9.579052107,9.396748969,9.383279733,9.244433653,9.144129856,8.977844179,8.934483331,8.922212338,8.71650719,8.660526087,8.860430938,8.885121988,8.760402305,8.742074678,8.573465904,8.623013042,8.445399768,8.444574372,8.322817474,8.390011152,8.263931405,8.282112886,8.236428249,8.269233633,8.46178297,8.455126473,8.395355166,8.426053871,8.431231489,8.428773234,8.391689006,8.369727237,8.33251046,8.302021537,8.317206107,8.211426194,8.210660218,8.140022307,8.105853317,8.068437995,7.998360187,7.934458423,7.933463444,7.877063088,7.817206045,7.794446672,7.791028057,7.757336625,7.716777938,7.853812112,7.7323512,7.646820398,7.423581157,7.156130197,6.810810191,6.523387646,6.261523648,6.181832676,6.184146389,6.211305245,6.253889795,6.28854686,6.317056591,8.694578693,9.814802475,9.897457716,9.881396142,10.19967298,10.33171042,10.43300893
ALE3,0.913469676,0.915139072,0.916634059,0.91508171,0.916362755,0.913196298,0.916754954,0.913404822,0.916629849,0.916461027,0.916944955,0.915863126,0.917733509,0.921627231,0.927095521,0.990907192,1.09145122,1.343614987,1.916869137,3.037522643,4.843095562,7.144856061,9.677755306,12.36546588,14.89812379,15.87369532,16.6534875,16.77558195,16.59145233,16.22905066,15.83134139,15.49521322,15.12990219,14.98377563,14.52304035,14.32172621,14.06098236,13.48313586,13.27103709,13.52487775,13.05398347,13.06879124,12.76208655,12.36029784,12.26722008,12.12070331,12.17061431,12.13241091,11.81680649,11.77551021,11.791649,11.67005329,11.34106132,11.37998656,11.09129266,10.97231882,10.9956918,10.93177552,10.70402219,10.78564345,10.69933002,10.62988634,10.61797552,10.72407807,10.60328055,10.31645443,10.31765543,10.24270408,10.15526689,10.17829822,10.02514911,10.08660859,10.01426854,9.881509386,9.868937765,10.01770037,9.903691433,9.882627622,9.928617576,9.758312295,9.548897856,9.672419687,9.569645513,9.542549345,9.451122331,9.355424403,9.306330011,9.125829236,9.321880739,9.130168869,9.324222777,9.200931514,9.176058014,9.097457218,9.09162323,9.005332114,8.870500646,8.775981078,8.820607206,8.770370139,8.636218285,8.654601291,8.623687557,8.562146018,8.463797341,8.518035465,8.429544166,8.477557746,8.449697605,8.366334029,8.329908732,8.255600109,8.171762052,8.085661839,7.955129363,7.910260169,7.820043893,7.808591861,7.728011291,7.577912384,7.412431733,7.323385639,7.194424364,7.049015842,6.946414799,6.777526679,6.689701222,6.695555319,6.615038048,6.861468508,6.69319846,6.620406236,6.586046197,6.64130473,6.599732388,6.557714378,6.488546418,6.534602962,6.563087806,6.514433053,6.608908663,6.594695449,6.387006142,9.239792212,9.450975677,9.211784808,9.873448171,9.801646007,9.883260447,10.15380765
ALE3,0.888306392,0.895333925,0.898591135,0.898087939,0.894042401,0.889007672,0.891812769,0.892785527,0.892794345,0.892166637,0.890628606,0.892838763,0.89627575,0.893661039,0.901381612,1.008334962,1.317752436,1.728114068,2.672048511,3.65496471,5.283953218,7.163361712,9.528905499,12.15879852,15.41744835,17.97199191,19.89727441,20.89560321,21.48792407,21.23445124,20.66889995,19.93721192,19.29816199,18.65593024,18.03666003,17.51824679,16.85670118,16.43941149,15.98496541,15.49487398,15.16893928,14.7628752,14.52710558,13.90624218,13.68113404,13.26019762,12.98756606,12.76319044,12.56841924,12.30533368,12.11101374,11.80790948,11.75431217,11.46093552,11.4137103,11.22291404,10.97301801,10.83203951,10.75800301,10.62413251,10.54076965,10.34895028,10.34290166,10.10959267,10.14860069,10.09474197,9.926292401,9.87298291,9.89620298,9.675691712,9.651277934,9.554155297,9.543051614,9.418515188,9.429006162,9.329569414,9.327621643,9.256849752,9.1777125,9.127032062,9.199542775,9.02389582,9.105877248,9.03264194,8.91006705,8.867750342,8.838588334,8.894793028,8.723947158,8.675163066,8.699516495,8.793827611,8.696109222,8.680336938,8.616183065,8.638767816,8.433194933,8.409112534,8.303959643,8.350394165,8.188277732,8.138244296,8.104216836,8.076478435,8.134801676,8.081546037,8.126866401,8.170411137,8.148135062,8.115241038,8.044369247,8.031344058,7.948654699,7.866888108,7.803341062,7.714622478,7.69093811,7.624770248,7.570359958,7.498702334,7.432527598,7.350285265,7.355740969,7.296886371,7.271130498,7.27073306,7.266729641,7.242478299,7.308379751,7.205948927,7.291752333,7.406907647,7.423524279,7.456323884,7.432839279,7.463118184,7.484313583,7.486214337,7.576299586,7.576228407,8.063269082,8.153838299,8.192020484,10.81723816,10.96397976,10.67899936,10.60408229,10.03441674,9.794072995,9.867340003
ALE3,0.933660858,0.9360323,0.937014268,0.93624612,0.942895261,0.937726931,0.94162608,0.936932926,0.939823265,0.936157105,0.928801558,0.93085087,0.938461632,0.936303096,0.940448761,1.104611781,1.794831595,3.085982208,5.134993581,7.531938028,10.54478854,13.46213327,16.20754117,18.57135139,19.63881079,18.94224018,18.98543292,18.65760515,18.23040787,17.81792923,17.45319974,17.10072421,16.73147599,16.46220406,16.00569097,15.85288166,15.5044968,15.04999966,14.80861063,14.69959256,14.3742734,14.2169107,13.98287275,13.53116667,13.37949379,13.14161544,13.04597173,12.98605812,12.67620644,12.53524891,12.52625394,12.27695754,12.12086387,12.00312128,11.87494914,11.76145828,11.62700808,11.55470087,11.46958853,11.42667046,11.35202163,11.24361836,11.21386799,11.14084925,11.1413101,11.02130461,10.8994584,10.83800141,10.83034824,10.71386417,10.33419153,10.3796792,10.23316398,10.17767064,9.988174518,10.13511585,9.80273979,9.737813934,9.652910428,9.299966534,9.113486298,9.059902933,9.254025852,9.181281983,8.99668815,8.73219534,8.725045815,8.641932018,8.595803007,8.376329809,8.578168049,8.492351234,8.303422551,8.05025028,7.762540919,7.647121294,7.395239665,7.162897673,7.001542047,6.880514398,6.754927982,6.701628279,6.47643847,6.25404586,6.163443661,6.036414152,5.818119441,5.946070266,5.739988862,6.024459627,5.866466306,5.925710985,5.882971805,5.722941014,5.659945045,5.510454812,5.474299351,5.397986082,5.192537478,4.951133325,4.7080974,4.468153506,4.284946553,4.094050924,3.949442828,3.826265399,3.96397399,3.955283363,3.883102078,3.860347729,3.128915208,3.15004048,3.183691377,3.269758515,3.300482303,3.457682001,3.604141148,3.943941021,4.631744133,4.985704446,8.933431549,9.040314994,9.116656701,10.39107374,10.67165929,10.74529444,10.86702328,10.44372437,10.22105142,10.25979177
ALE4,0.896586072,0.904519281,0.904417466,0.901871961,0.898740797,0.899161581,0.904456494,0.906890202,0.905446207,0.90407186,0.903842294,0.9046379,0.906265953,0.90498761,0.90949954,0.995282971,1.254036594,1.797901041,2.834819209,4.263695902,6.292696282,8.605580295,11.36906505,14.66649549,17.71471801,19.56307404,20.25261473,20.53353801,20.59515881,20.16748043,19.45564101,19.47950676,19.16908035,18.76134277,18.18579383,18.12841066,17.6459254,17.00493714,16.85733731,16.67596448,16.25710162,16.00664938,15.79615369,15.22851209,15.01601507,14.65125568,14.52728935,14.22314086,14.04914697,13.72585858,13.75065229,13.30633985,13.16909975,13.13014663,12.94211147,12.56054953,12.68852432,12.50385455,12.38344412,12.27018462,12.11449298,11.93924869,11.98238893,11.72752734,11.74489631,11.48513751,11.27060136,11.12406238,10.66462897,10.90238622,10.86952136,10.64206577,10.58302251,10.46669123,10.04435706,9.931560812,9.759227487,9.618653022,9.514202621,9.343220736,9.048913822,8.697567127,8.64529408,8.192585244,8.076399328,7.925053539,7.725823071,7.864319434,8.100130044,8.40527648,8.280906289,8.336796071,8.057434788,8.400954095,8.047842092,7.895902688,7.629725794,7.848403359,7.962477218,7.843963689,7.775428947,7.696777617,7.443485127,7.28577237,7.187538599,6.799737392,6.537044358,6.243538346,5.909863535,5.734107341,5.412956119,5.213559211,5.012249563,4.633891055,4.573366692,4.357418069,4.121804202,4.280365718,4.342170659,4.919035949,4.913625693,5.223553995,4.88962482,3.863789186,4.076518685,3.978623196,4.421892998,4.349482249,4.310486307,4.597726742,4.549335567,4.41449715,4.082452168,4.385571725,4.141034844,4.952015574,9.200776783,9.140707718,9.593747862,9.408811578,9.524131042,9.515394863,9.269859764,9.0010308,8.682970909,8.700578319,8.560559431,8.557555176,8.571493685,8.711645732
ALE4,0.897049758,0.90433245,0.902581786,0.890461722,0.895824993,0.89896019,0.907460241,0.914414012,0.919472574,0.934069454,0.93079316,0.94766336,0.932103979,0.932074207,0.930835194,1.068598578,1.539696125,2.396195563,3.474916979,5.487240589,8.242889345,11.28814686,14.61571502,17.22396904,19.21034943,19.00355911,18.78101737,18.44813513,18.41317856,18.10153854,17.52051968,16.8297983,16.51617568,16.47042582,15.93139599,15.82498689,15.49756491,14.78287338,14.72930004,14.66408143,14.21210265,14.17914225,13.72666605,13.43654263,13.09187617,12.9236299,12.77714253,12.66948704,12.39781936,12.25508325,12.24443116,11.93713103,11.74511424,11.62714522,11.59025671,11.4570301,11.4259898,11.22845273,11.15493205,11.01612492,10.58347894,10.47576689,10.49049802,10.48424297,10.45842943,10.31174379,10.20739088,10.20633116,9.85079588,9.742183939,9.824864538,9.731900074,9.770414043,9.702808669,9.601251914,9.514722056,9.359802128,9.307265912,9.28421196,9.05749501,9.147232828,9.040523845,9.227566278,9.307955221,8.999854389,9.249974737,9.304992791,9.239562957,9.31757229,9.305749431,9.38473762,9.427429704,9.245566539,9.348697227,8.60759201,8.603005195,7.841360036,8.601274627,8.481958857,8.185206399,8.230431272,8.166525814,8.150966489,8.02625034,7.896191228,7.844317445,7.867419625,7.84158214,8.066553879,8.161466276,8.003545384,8.107279605,7.98694456,7.761551838,7.70498289,7.577480881,7.715484906,7.715833672,7.574902181,7.835547976,7.724458907,7.845560973,7.776750782,7.566992167,7.688772046,7.310518182,7.555252101,7.50636298,7.353308349,7.635049467,7.586405057,7.237741389,6.979969356,6.526630749,6.559683201,6.679728365,7.056098474,6.980190426,7.141957567,6.843221271,7.057443454,6.813846048,6.817091027,6.86973968,6.476219059,6.698020654,6.82610137,6.794221525,6.735926223,6.694953806
ALE4,0.897261359,0.914405187,0.925834532,0.92646743,0.926142907,0.930240078,0.929499267,0.92973944,0.925090198,0.938343448,0.929647817,0.932214637,0.922641503,0.930258427,0.925824292,1.035487111,1.304522616,1.754388959,2.467013381,3.432272342,4.566381429,5.4557562,6.649808859,7.702314105,9.193424741,10.16681318,10.15362625,10.26767041,10.76143043,10.50359839,10.29497218,10.64252393,10.82903874,10.70925436,10.48268004,10.87784529,10.59309247,9.894843805,10.00612852,10.02849039,9.707264101,9.773472025,9.942803078,9.909420169,9.757059883,9.543447819,9.686538566,9.479374881,9.387120717,9.113341134,9.529782053,8.806478616,8.7419828,8.710134477,8.63109632,8.476388315,8.484291171,8.213988257,8.219520939,8.316442526,7.943532647,7.667311159,7.854231604,7.668751026,7.895961734,7.487100694,7.256539935,7.162766831,7.056706738,6.91920115,6.538854353,6.601057666,6.694024008,6.47839339,6.211843815,6.391078202,6.283504324,6.382492977,6.238876805,6.017918481,5.774316358,5.506168522,5.59322648,5.379734625,5.15052236,4.978177403,4.66422527,4.560624031,4.270340918,4.121424985,4.141570592,4.13747102,6.229237402,6.092228882,6.018993557,6.149355236,6.150263274,6.587659597,6.477621002,6.570676246,6.53174377,6.476093651,6.459232046,6.353549117,6.333362303,6.364027849,6.331690804,6.218404012,6.175122441,6.412087138,6.23913618,6.14884571,6.238313956,6.10064305,6.113105994,6.183761085,6.229767493,6.341781694,6.162657203,6.427938413,6.277775449,6.217255002,6.02151232,5.633847381,5.722027622,5.297195509,5.496674127,5.326328043,5.167971711,4.956265323,4.654725133,4.443108031,4.369849089,4.423510211,4.270676348,4.186989956,4.204320221,4.026967128,3.885121177,3.798429713,3.682783961,3.647579908,3.643962146,3.571077519,3.495413537,3.559660907,3.542468601,3.495903285,3.376576552,3.331104093
ALE4,0.875186942,0.90541676,0.928562964,0.937197221,0.943938272,0.937229534,0.93358247,0.929507836,0.926105964,0.929576665,0.92311471,0.924678592,0.924697676,0.92280232,0.922398873,0.958042919,1.128880818,1.377700514,1.757332614,2.247861134,2.817202365,3.459120978,4.311867542,4.99535146,6.079475099,7.179542756,7.658254198,8.2482468,8.906137698,9.015714468,9.040090158,9.362981956,9.577616218,9.604929565,9.619352525,10.08845487,9.995519268,9.472009636,9.679233959,9.845896795,9.655442598,9.833270461,10.19015973,9.826514553,9.708793864,9.523649274,9.630697802,9.485340219,9.401577094,9.221893674,9.646520664,8.919324504,8.891299293,8.876869736,8.710032466,8.642705221,8.816661984,8.63384001,8.543416326,8.544017989,8.364756866,7.940504535,8.205284691,8.00451031,7.935276956,7.299471487,7.064830374,6.902534327,6.722709433,6.345819151,6.33896218,5.993978003,6.122682487,5.733720924,5.610339455,5.65498957,5.395447564,5.402973697,5.245056803,5.082814416,4.592330553,4.278939381,4.262712333,3.977589483,3.688309028,3.429781171,3.22337365,3.209461853,3.020823101,2.923816173,2.762890035,2.705283178,8.163955697,8.058645454,8.499673015,8.310919568,7.79538032,7.708509185,7.247490392,6.950005138,6.425931517,5.865488856,5.230394243,4.653950304,4.197889048,3.824822919,3.535001045,3.191083538,2.941904034,2.891877095,2.78886435,2.77755169,2.811548308,2.778010838,2.858699197,2.769648989,2.835350325,2.78028739,2.745560749,2.904239735,2.834599924,2.909342278,3.200912574,2.934418821,3.04889152,2.741062318,2.634601508,2.605128575,2.593892657,2.787047113,2.880893384,2.827929824,2.786881955,2.924944561,2.794081375,2.843759301,2.928221416,2.917230753,3.000369977,3.110815377,3.180338562,3.359741545,3.240642024,3.293055357,3.304137545,3.392998118,3.398222402,3.322110927,3.367654182,3.332328612
ALE4,0.879621098,0.889860436,0.888419775,0.890042541,0.891728841,0.888215608,0.888014417,0.886139966,0.885047638,0.889216082,0.88115265,0.883657182,0.879034328,0.87959455,0.882848235,0.925037462,1.138875617,1.685508499,2.815556732,4.449352662,6.6797427,9.362360709,12.35161827,15.48880285,18.45148096,19.82122953,21.04350697,21.56009327,21.24573453,20.54146009,19.64606362,19.24746725,18.63596821,17.98820096,17.39928939,17.17008953,16.56890645,16.13304583,15.78881402,15.42164438,15.08083685,14.74634661,14.43646888,13.891962,13.57884322,13.26476031,13.09075308,12.76903941,12.55161573,12.18869489,12.13364644,11.80793051,11.67847965,11.57332855,11.41307787,11.1620333,11.06877836,10.92752331,10.80755887,10.72813575,10.63431016,10.47130995,10.48023746,10.25347097,10.18212307,9.724788968,9.389953046,9.26391867,9.199717382,9.056397918,8.89875462,8.795581876,8.878097101,8.830243524,8.951470021,8.291061981,10.85554388,10.65772673,10.90235543,10.71247262,10.34802921,9.952408952,9.749365487,9.356385279,8.893782422,8.143401658,7.830399657,7.735695947,7.391244481,6.964669359,6.537752517,6.638338343,6.480957562,6.721050095,6.555609054,6.32916924,6.113268034,6.373085514,6.428592563,6.605399654,10.95728617,10.82630731,10.73640816,10.54665177,10.4420173,10.33055108,10.19097343,9.897786517,9.706399104,9.549364046,9.280002017,9.20466497,9.020145386,9.029535608,9.097647764,8.970115075,8.98631757,9.752562094,9.550450288,9.563146238,9.364084151,9.209841869,8.990868956,10.10998974,10.61560874,10.4512461,12.47506089,12.34058608,12.31788236,12.27927202,12.18506912,12.01781063,11.89771833,11.67422077,11.3666751,11.11142234,10.5608269,11.6243743,11.54441417,11.502365,11.43819735,11.23977462,11.09536392,10.91857461,10.60631317,10.32558366,10.1115466,9.788507052,9.449798494,9.33864059
ALE4,0.900763858,0.918470717,0.924926806,0.925936919,0.92905702,0.930685247,0.928582609,0.92923792,0.92862571,0.927351803,0.926538344,0.922131069,0.919656984,0.920977975,0.922834995,1.041623664,1.716100404,3.337788259,6.242430825,10.12966346,14.65756663,19.50680164,23.4827894,23.55713709,22.52539472,21.33238198,20.19086342,19.17883402,18.41477104,17.68954649,16.91951137,16.41189092,15.91288327,15.34465911,14.87080257,14.62663839,14.15423162,13.72060427,13.44989037,13.15419174,12.8862552,12.58115585,12.46199963,12.03300986,11.86611129,11.56388198,11.44478285,11.20312508,11.03433564,10.77746992,10.74265897,10.41131164,10.29124589,10.30509862,10.18072324,10.01361867,9.941832262,9.85251022,9.785282562,9.752685799,9.644037823,9.53645143,9.232221018,9.270928569,9.383776077,9.203263009,9.125012731,9.219600637,9.295913035,9.160884109,9.164061765,9.032889867,9.057276475,9.000718785,8.847292226,8.957251897,9.030328794,9.034529307,9.019481816,8.983389476,8.846240109,8.773258291,8.784966021,8.560276693,9.144083618,8.962976548,8.716470265,8.712677385,8.611244233,8.43065482,8.188508304,7.90004135,7.622341056,7.730130325,7.410924848,7.151737529,6.836630856,6.845737084,6.678483892,6.502417194,6.323956169,6.278246855,6.211681128,6.073516354,6.089240775,5.881056081,5.647329977,5.473185019,5.29468084,5.255599858,5.014677359,4.995051206,5.080033564,5.307980307,5.63225326,6.611836963,7.416271455,7.326561186,7.106071912,7.07055913,6.936022809,6.813449418,6.664531629,7.823908794,7.59852359,6.789780103,6.801310034,6.372844287,6.108995011,6.249236074,6.012411435,5.63982166,5.572184947,5.537455474,4.94369883,4.988042955,5.680522029,6.493349032,7.18768099,7.670198814,7.73020343,7.556713165,7.562516002,7.471321992,7.330311744,7.293161052,7.226356219,7.229140404,7.152167317,7.276357915
ALE4,0.916606564,0.926158845,0.930088051,0.931231334,0.931118454,0.926150278,0.923865884,0.925578661,0.926164478,0.930432039,0.929943869,0.927425845,0.926186172,0.927055854,0.928995196,0.992511472,1.248217395,1.821880863,2.907478835,4.411631734,6.528354633,8.866870241,11.30548861,13.12096483,15.34428418,16.5683854,16.53672315,16.95352047,17.40266772,16.92153637,15.62114799,15.94323363,15.49885112,15.39923487,15.02956581,15.25856548,14.99042871,14.16883584,14.08905981,13.80988742,13.21288219,12.89541446,12.26997342,14.6215349,14.35819989,14.10889609,13.89179472,13.60688708,13.35134505,13.03815517,12.88338763,12.61547931,12.39003164,12.37751288,12.30761232,12.06428969,11.94880302,11.83532665,11.75305021,11.62137764,11.48304704,11.39225597,11.38158048,11.25149222,11.24691566,11.11714442,11.00206129,10.95091545,10.85465414,10.49640015,10.04359265,9.144472202,9.00561611,8.669876902,8.263212782,8.482868957,8.487604045,8.548944568,8.552806104,8.291065457,7.801247147,7.33482933,7.33628907,6.808118817,6.534452499,5.975610633,5.742633972,5.776516334,5.61248384,5.314212678,4.900846181,4.866735326,4.473865883,8.275518875,8.502542433,8.086328501,7.372071732,7.423023822,7.630813021,7.380657951,7.66607024,8.059022882,7.60055738,7.31174092,8.550877584,7.909065897,7.37246209,6.861628216,6.652399769,6.86236712,6.749511539,6.699517852,6.671649325,6.74285955,6.758395257,6.607316965,6.634816286,6.53916305,6.325917383,6.888496678,6.908609786,6.624839045,6.448030233,9.324560544,9.407203855,8.3321537,8.987192669,8.666847807,8.480675173,9.104449283,8.855155479,8.13803896,7.606605178,8.120357073,7.538331574,7.744547302,7.811367809,8.818094139,8.831961478,9.060759207,9.0709181,9.108347176,8.924894847,9.202759728,9.173288404,9.295216105,9.166478855,8.948562725,8.624307285,8.446511119
ALE4,0.927912887,0.936303761,0.942946257,0.944792106,0.94406943,0.946428518,0.941170555,0.946069515,0.942171403,0.946276369,0.942869262,0.940977477,0.943004203,0.943598616,0.940946395,1.036167246,1.306626296,1.761810144,2.705966202,4.103611544,5.872047548,8.091285927,9.980997126,11.74106651,13.84310823,16.18000117,17.06415758,18.34757894,19.27798,19.1421501,18.90004424,18.62277658,18.44810581,17.51164146,16.95648645,17.14405704,16.59336102,15.79950417,15.73587029,15.53125469,15.3111622,14.98101597,14.52736521,13.66760485,12.92587274,12.522021,12.30186207,11.89741477,11.8624436,11.4844382,12.17917108,11.07925871,11.10101598,11.4426978,11.14599062,11.13381462,11.22459603,10.97133158,10.90875644,10.95221648,10.67484107,10.26572204,10.57853253,10.26623203,10.22156938,9.406150932,9.808754038,9.853313591,9.868130528,9.642286631,9.707526962,9.384340134,9.614174195,9.370294698,9.058676056,9.085113532,8.756755682,8.801089949,8.554875265,8.126811396,7.50690266,6.904844758,6.75604625,6.310371073,5.958617157,5.698736834,5.401385198,5.206021494,4.891248322,4.739827148,4.530805163,4.544655067,4.362240041,4.566265086,4.401575776,4.174089877,3.990566574,4.026068791,3.999182651,3.856632594,3.912534082,3.947326012,3.979323786,4.013017421,4.216801762,4.242780621,4.154602562,4.003191106,3.978396925,4.089963724,4.064518767,4.129724523,4.271144122,4.322540066,4.468752473,4.474108217,4.526826473,4.627718888,4.686871046,5.065950692,4.919643284,4.875581058,4.765690965,5.582050988,5.776812338,5.176669116,5.922185757,5.988595855,5.890987246,6.688257221,6.560929397,6.628275826,6.133063731,6.297275757,6.206566523,6.142189453,6.151580486,6.78629605,7.134348985,7.201856927,7.206272025,7.695451638,7.900909958,8.029632262,8.246661972,8.613612928,8.971229888,9.642565419,9.495430079,9.352804916
