Slice,zraP_mean,zraP_std,arsR_mean,arsR_std,zntA_mean,zntA_std,merR_mean,merR_std,U139_mean,U139_std,cusC_mean,cusC_std,cadC_mean,cadC_std
15,10.368399318843654,2.279276848897151,23.830638924849588,7.139251018,15.438071713818934,8.552261703654295,7.567591864012424,1.5812589671142292,17.745361508737304,3.7733674186205004,24.98327354,4.248117266647715,9.356303543321424,0.950684323
16,9.906704431294735,2.2321421795841863,23.98583093,7.166848389,14.983312352342365,8.373456246218131,7.515781869,1.5954744480769474,17.738379965904702,3.416393715061297,25.370850731048655,4.234596029147892,9.443890628217613,1.000166389
17,9.445009544,2.247517055311068,24.14102292516422,7.194762440356252,14.528552990865792,8.195950583203373,7.463971873992195,1.7198966397922295,17.731398423072093,3.1545038493002773,25.758427918438606,4.271230335488613,9.024340639149054,1.08783102
18,12.15743993880885,2.2038442742339956,25.06076771008162,7.221081577010818,15.268151017669805,8.702153867426862,10.403141004811005,1.9055590787995424,17.688693158998298,2.832134018185744,26.88382486567985,4.535453539714479,9.148069531999242,1.179580819
19,9.206847282904482,2.511412757242593,23.207970997019267,6.9366960101718425,14.779188595651586,8.340498753076343,7.044346223,1.225088234775394,17.725784276513266,3.551104176957292,24.907523152371272,4.246129223,9.254951255524963,1.24167993
20,11.854142502483786,2.652005586534671,24.789532741099734,7.328083813,15.188550544164887,8.739783628946126,9.334063047,1.2111779578651298,17.725860101917057,3.3982707399101955,26.870290142972628,4.040978257028284,9.356303543321424,1.261638545
21,10.260829947962753,2.1195905564690847,24.089010258973154,6.889427021445606,14.575530732925339,8.615158458417305,7.050284878323412,1.1827755802523225,17.71305904958137,2.8630538896488487,25.117343166279298,3.913987333487119,9.443890628217613,1.000166389
22,11.190362461509398,2.399333485,25.11416227,6.984117342608531,14.902539189896508,8.637717596472209,8.514238106706228,1.4325792560689348,17.783972627585445,3.541921851444995,26.55505015691866,5.203471543,9.024340639149054,1.08783102
23,11.340433799633974,2.0332489432820737,24.685169467625883,6.533334511947178,14.54465404525224,8.213786736,8.624750744291307,1.5858992552806748,17.643155888178896,3.0029628445657575,26.369105823592534,4.849214298237975,9.148069531999242,1.179580819
24,9.806233718558508,2.613930325234689,23.60939725365968,6.7844629935825775,14.385890808833013,8.172812071459564,6.174683759461312,1.4926934672202101,17.735703939903807,3.8232530818422132,24.089535338425517,4.571686323528426,9.254951255524963,1.24167993
25,11.12987077676468,2.5871484080641283,24.37268477607351,6.131544764103067,14.233890241992315,8.356607745438934,8.184680112950925,1.7014661346408635,17.69961717977566,3.838276642861729,25.439817690941446,4.753911848963029,9.443890628217613,0.886931935
26,10.326355335760232,2.170721590942127,24.419501846835665,6.157905349956303,14.527589332681135,8.663608501065484,6.953114596,1.5597640258244019,17.724400730558674,3.4961089408925634,25.660471994176103,4.641976100574003,9.495507255887045,0.950684323
27,9.062236567,2.3359862417771784,24.069883621820004,6.145978173,14.140149689727373,8.124314723913198,7.216009075543184,1.6535102238160349,17.79776481382146,4.018023793888062,24.854217225177877,4.7383789493364885,9.572092543,1.000166389
28,9.710835286118142,2.0300548671726157,24.69505831745196,6.4057303235833825,14.279784111052585,8.030128497936762,7.499174590567611,1.2383405670659386,17.68231089408846,2.2906332653539145,25.337298719969244,4.817408246972753,9.254951255524963,1.08783102
