Slice,arsR,arsR,arsR,arsR,arsRBG,zntA,zntA,zntA,zntA,zntABG,zraP,zraP,zraP,zraP,zraPBG,cusC,cusC,cusC,cusC,cusCBG,merR,merR,merR,merR,merRBG,U139,U139,U139,U139,U139BG
32,2568.381,2553.357,2624.815,2572.31,2362.899,2777.47,2727.065,2704.762,2609.411,2348.458,2378.702,2369.155,2362.881,2357.131,2334.97,2436.333,2439.433,2417.35,2456.1,2306.033,2324.727,2323.744,2320.488,2330.05,2295.678,2314.19,2303.339,2296.107,2295.702,2255.289
33,2572.369,2550.315,2619.083,2576.31,2363.435,2769.976,2717.911,2704.042,2611.803,2348.625,2376.536,2368.065,2364.982,2357.827,2332.268,2430.35,2443.117,2417.65,2455.667,2304.683,2332.455,2326.744,2327.231,2322.719,2293.917,2311.901,2306.678,2292.777,2299.107,2256.769
34,2569.947,2551.202,2625.458,2571.786,2362.065,2777.018,2720.851,2712.369,2609.292,2348.369,2376.083,2369.149,2366.857,2359.399,2333.393,2426.75,2443.467,2409.383,2459.35,2303.633,2327.529,2332.083,2327.488,2333.959,2293.223,2311.264,2303.975,2301.273,2303.512,2257.942
35,2568.458,2552.577,2624.315,2575.22,2362.994,2777.315,2712.726,2712.042,2606.988,2350.298,2380.905,2368.327,2365.208,2350.06,2332.577,2429.7,2439.2,2412.9,2457.117,2303.65,2330.678,2333.322,2329.066,2325.413,2294.289,2314.554,2295.314,2299.355,2290.107,2253.099
36,2566.542,2551.678,2629.036,2575.095,2365.958,2782.613,2712.708,2710.756,2605.506,2342.744,2374.583,2371.583,2365.28,2359.697,2336.845,2431.7,2439.283,2415.383,2459.117,2305.817,2329.132,2328.314,2326.306,2332.455,2296.149,2309.306,2304.132,2298.983,2299.702,2257.653
37,2568.756,2546.845,2629.774,2567.565,2361.173,2792.881,2705.678,2719.881,2603.792,2346.994,2372.869,2372.875,2367.685,2353.803,2335.363,2439.4,2440.35,2412.517,2457.017,2313.65,2324.174,2333.529,2324.612,2328.942,2297.43,2317.967,2303.818,2300.38,2299.537,2256.264
38,2564.286,2551.577,2625.03,2576.792,2357.053,2774.97,2720.435,2718.905,2600.833,2346.167,2376.012,2370.905,2366.423,2351.815,2332.911,2421.183,2439.617,2411.933,2455.75,2302.717,2325.653,2325.967,2327.579,2330.223,2292.76,2312.025,2298.504,2293.355,2298.372,2257.942
39,2563.197,2556.274,2627.75,2572.232,2362.542,2777.119,2725.375,2716.512,2602.572,2352.095,2376.375,2373.119,2365,2354,2331.322,2425.567,2444.9,2409.3,2454.35,2300.267,2326.083,2327.835,2325.702,2327.653,2295.521,2308.62,2300.364,2299.099,2289.62,2257.86
40,2567.178,2548.994,2630.697,2573.125,2365.185,2775.458,2726.393,2722.553,2603.518,2344.619,2374.935,2373.423,2368.244,2350.726,2331.232,2430.45,2448.117,2416.967,2460.133,2294.167,2331.124,2328.397,2328.405,2326.587,2293.727,2315.562,2299.868,2299.099,2294.645,2251.364
41,2563.952,2543.5,2635.881,2573.327,2362.339,2774.303,2743.613,2724.202,2606.214,2347.333,2377.786,2373.137,2369.381,2358.036,2331.024,2428.85,2444.033,2414.417,2449.05,2300.017,2333.281,2332.372,2326.289,2329.826,2297.752,2315.579,2302.124,2298.231,2295.752,2259.413
