Slice,arsR,arsR,arsR,arsR,arsRBG,zntA,zntA,zntA,zntA,zntABG,zraP,zraP,zraP,zraP,zraPBG,cusC,cusC,cusC,cusC,cusCBG,merR,merR,merR,merR,merRBG,U139,U139,U139,U139,U139BG
36,2543.708,2532.298,2550.619,2536.72,2366,2364.774,2639.458,2605.899,2617.19,2364.851,2395.268,2378.322,2374.125,2379.018,2371.744,2590.233,2592.517,2582.8,2521.317,2391.267,2374.777,2382.174,2369.909,2367.223,2339.405,2411.322,2410.835,2404.653,2381.124,2386.347
37,2552.97,2521.565,2547.464,2544.452,2361.649,2363.208,2635.417,2605.958,2617.452,2369.56,2395.899,2381.006,2378.417,2378.494,2373.947,2589.85,2593.533,2579.567,2519.383,2390.783,2381.628,2374.645,2363.124,2371.777,2333.074,2412.909,2415.124,2408.471,2385.289,2381.182
38,2549.619,2524.524,2551.744,2546.399,2362.839,2364.095,2639.726,2595.47,2622.107,2368.303,2399.286,2374.548,2374.375,2380.685,2367.625,2596.533,2588.367,2583.4,2517.767,2396.133,2380.14,2374.926,2369.19,2371.488,2336.975,2414.116,2411.281,2403.215,2375.421,2386.455
39,2550.649,2529.018,2547.119,2540.363,2366.607,2364.774,2637.101,2593.768,2615.649,2369.625,2399.268,2378.053,2374.572,2379.197,2374.685,2596.483,2591.4,2586.7,2512.5,2396.1,2375.074,2375.405,2365.554,2371.463,2339.256,2407.231,2406.793,2402.579,2380.835,2380.744
40,2549.303,2528.363,2545.756,2548.03,2363.572,2360.393,2638.774,2600.536,2619.512,2367.053,2397.702,2380.774,2377.161,2381.095,2373.226,2602.183,2590.283,2580.467,2517.95,2394.167,2379.05,2378.868,2363.058,2369.612,2337.678,2413.124,2408.57,2404.033,2381.603,2375.917
41,2553.5,2534.119,2549.202,2548.137,2360.464,2362.292,2647.613,2593.97,2619.232,2371.536,2395.464,2379.595,2377.405,2382.94,2373.803,2599.15,2587.617,2581.983,2511.95,2390.817,2376.818,2379.19,2364.826,2372.058,2337.554,2407.05,2413.463,2406.223,2378.81,2381.231
42,2557.178,2524.553,2547.649,2550.131,2364.917,2363.976,2646.518,2596.131,2618.369,2374.095,2399.31,2375.435,2377.119,2377.452,2371.25,2592.733,2593.117,2575.8,2523.433,2398.783,2373.711,2371.843,2368.868,2373.256,2334.769,2414.57,2413.438,2412.537,2382.934,2378.124
43,2555.75,2533,2545.048,2555.661,2366.357,2363.982,2641.006,2600.649,2615.214,2367.423,2401.512,2376.613,2379.339,2381.274,2371.452,2591.35,2584.433,2574.65,2516.133,2391.817,2376.463,2378.562,2367.355,2371.306,2333.744,2416.397,2407.298,2404.901,2382.157,2382.033
44,2556.452,2534.75,2544.428,2549.53,2368.827,2364.833,2647.173,2601.125,2621.095,2365.22,2403.28,2378.697,2377.399,2378.726,2375.685,2595.433,2592.45,2577.067,2519.6,2397.017,2377.992,2376.959,2370.405,2372.289,2333.083,2411.992,2413.909,2406.942,2381.545,2379.934
45,2552.607,2524.405,2544.458,2551.714,2362.167,2360.119,2649.357,2586.738,2629.053,2369.185,2399.405,2376.613,2374.649,2387.065,2373.786,2596.55,2586.25,2574.717,2525.1,2389.383,2374.628,2377.025,2366.645,2371.942,2335.298,2414.488,2411.182,2403.24,2386.843,2375.413
46,2556.553,2530.464,2543.268,2554.488,2364.72,2365.363,2649.857,2584.732,2624.97,2373.488,2401.583,2379.19,2378.803,2384.119,2372.822,2593.233,2589.233,2587.383,2521.917,2395.6,2373.223,2377.653,2367.521,2379.95,2338.446,2410.769,2408.314,2400.777,2383.273,2377.033
47,2554.619,2530.798,2550.327,2554.637,2362.553,2362.911,2647.786,2578.143,2603.381,2369.095,2397.488,2382.137,2377.357,2381.714,2376.458,2589.85,2580.833,2580.533,2519.75,2396.967,2380.95,2378.273,2369.917,2372.455,2336.281,2408.628,2409.455,2404.785,2384.537,2377.149
48,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
49,2547.607,2534.072,2546.923,2552.333,2361.982,2364.494,2663.792,2592.458,2589.262,2368.881,2398.905,2382.97,2375.78,2383.994,2375.131,2580.883,2593.433,2583.467,2519.55,2392.6,2370.826,2376.554,2361.678,2373.421,2334.074,2411.281,2413.967,2406.868,2376.843,2378.876
50,2547.667,2522.899,2544.327,2554.375,2362.06,2365.613,2666.47,2610.339,2590.917,2370.19,2399.994,2387.083,2375.69,2387.393,2373.803,2585.417,2582.933,2586.133,2521,2395.883,2380.868,2382.231,2369.405,2374.008,2335.017,2415.694,2405.273,2401.479,2383.008,2382.38
51,2549.976,2531.292,2548.036,2558.423,2362,2365.792,2668.673,2621.411,2592.899,2367.101,2407.494,2382.101,2377.19,2384.72,2372.768,2591.483,2585.95,2581.683,2541.8,2393,2376.95,2380.405,2367.099,2376.231,2339.868,2421.033,2410.884,2406.107,2379.38,2381.017
52,2550.411,2533.25,2548.917,2558.357,2365.518,2365.423,2665.631,2645.958,2586.94,2372.744,2398.161,2382.923,2374.197,2380.863,2377.137,2592.217,2589.733,2581.617,2541.467,2391.15,2378.025,2379,2368.223,2375.86,2338.463,2411.76,2413.876,2407.314,2377.818,2380.57
53,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255
54,2554.69,2529.524,2553.839,2558.506,2368.167,2365.869,2672.613,2668.405,2603.845,2367.244,2404.845,2382.327,2379.976,2386.167,2373.827,2592.883,2600.667,2576.783,2537.017,2390.133,2377.826,2376.289,2366.975,2377.116,2341.364,2414.512,2408.496,2406.273,2382.917,2384.926
55,2553.851,2533.917,2557.935,2555.851,2363.685,2371.869,2674.565,2668.393,2609.476,2367.268,2401.732,2383.072,2382.214,2389.786,2371.756,2592.033,2591.433,2571.8,2539.783,2397.917,2372.124,2378.496,2364.694,2376.124,2336.099,2408.545,2404.264,2409.074,2382.645,2383.314
56,2553.702,2537.905,2557.262,2560.649,2362.911,2369.851,2676.256,2684.268,2600.833,2365.315,2405.197,2375.673,2373.917,2384.351,2373.399,2590.65,2596.383,2583.85,2538.133,2388.1,2377.256,2379.884,2364.587,2372.099,2332.769,2416.19,2412.24,2407.736,2379.653,2379.975
57,2557.435,2534.506,2551.708,2562.548,2364.732,2375.667,2681.673,2690.589,2605.81,2372.167,2400.185,2383.952,2377.06,2387.161,2370.512,2595.683,2581.867,2584.55,2543.2,2398.683,2379.595,2376.455,2370.174,2372.934,2331.157,2415.521,2411.521,2408.322,2378.884,2379.058
58,2555.899,2535.613,2557.857,2563.94,2363.947,2377.845,2682.202,2690.863,2614.286,2368.387,2400.964,2378.988,2377.952,2378.524,2367.369,2592.783,2597.317,2577.1,2540.683,2389.017,2377.256,2377.975,2370.248,2372.835,2335.455,2409.248,2406.455,2405.777,2378.802,2378.785
59,2556.702,2537.899,2558.572,2561.488,2364.256,2376.803,2685.72,2692.803,2615.94,2368.917,2401.173,2371.899,2369.363,2384.357,2369.494,2596.467,2583.15,2575.3,2552.5,2393.8,2374.041,2379.521,2365.868,2373.711,2338.314,2410.157,2405.752,2403.661,2379.777,2378.636
60,2556.524,2532.339,2560.982,2560.78,2365.982,2378.095,2690.339,2698.357,2612.905,2363.994,2406.387,2382.482,2372.756,2384.048,2368.833,2592.2,2587.133,2577.683,2538.583,2393.183,2376.314,2379.661,2368.306,2376.86,2337.107,2410.364,2410.198,2403.017,2378.926,2374.702
61,2559.298,2536.994,2556.482,2558.399,2361.524,2384.887,2688.976,2694.827,2622.661,2370.5,2401.226,2375.881,2377.518,2381.44,2372.947,2595.133,2593.733,2572.633,2543.75,2390.6,2374.463,2382.851,2364.091,2377.76,2338.793,2413.628,2410.917,2403.066,2382.025,2384.529
62,2560.411,2541.048,2555.19,2559.113,2360.988,2385.018,2695.089,2690.536,2621.131,2369.053,2404.893,2380.494,2373.822,2385.036,2374.72,2600.717,2592.883,2580,2551.217,2391.95,2380.306,2384.926,2366.231,2375.066,2335.934,2413.694,2407.083,2406.264,2378.942,2385.372
63,2564.5,2528.619,2555.56,2561.678,2365.053,2397.262,2700.143,2693.673,2621.565,2371.643,2405.994,2375.685,2376.077,2383.935,2375.94,2590.083,2597.7,2570.367,2544.633,2393.683,2377.86,2376.372,2366.868,2373.926,2339.19,2413.934,2412.959,2409.545,2380.818,2380.479
