Slice,arsR,arsR,arsR,arsR,arsRBG,zntA,zntA,zntA,zntA,zntABG,zraP,zraP,zraP,zraP,zraPBG,cusC,cusC,cusC,cusC,cusCBG,merR,merR,merR,merR,merRBG,U139,U139,U139,U139,U139BG
34,2547.536,2636.428,2614.494,2650.315,2388.208,2840.435,2857.28,2807.601,2784.905,2400.524,2459.881,2462.018,2451.756,2458.69,2401.952,2657.617,2628.5,2637.367,2635.283,2411.617,2379.628,2396.05,2439.397,2410.769,2353.76,2402.76,2401.331,2439.017,2455.165,2348.545
35,2552.893,2631.286,2611.923,2642.762,2384.5,2835.351,2860.982,2812.685,2788.75,2400.875,2457.167,2461.048,2455.28,2462.024,2399.75,2669.683,2640.867,2635.7,2630.567,2412.033,2379.802,2394.628,2435.942,2398.843,2352.917,2405.777,2405.975,2433.934,2450.355,2349.769
36,2545.476,2637.125,2607.155,2634.536,2392.214,2841,2865.69,2812.667,2793.315,2406.845,2460.792,2461.03,2455.339,2459.822,2397.197,2669.367,2641.417,2641.95,2626.2,2398.95,2378.463,2390.694,2438.364,2403.959,2351.43,2407.438,2404.81,2445.074,2447.711,2348.636
37,2547.637,2636.143,2607.542,2638.018,2389.131,2840.423,2871.839,2811.357,2795.702,2402.101,2459.399,2459.565,2457.19,2460.214,2397.536,2658.483,2635.85,2637.45,2620.9,2409.3,2378.223,2392.198,2439.851,2407.017,2349.818,2405.074,2404.843,2445.628,2452.033,2350.744
38,2553.97,2634.958,2610.053,2622.917,2388.286,2843.173,2869.28,2813.964,2796.095,2404.447,2461.131,2456.815,2449.393,2459.548,2396.625,2660.75,2646.25,2636.883,2626.083,2407.8,2383.017,2384.967,2435.132,2406.347,2347.198,2402.248,2404.835,2444.95,2450.322,2352.372
39,2546.875,2639.845,2606.839,2629.661,2392.095,2845.25,2873.083,2815.542,2802.81,2403.423,2461.708,2446.982,2449.53,2460.393,2402.964,2658.183,2637.6,2627.617,2615.65,2407.5,2384.264,2392.289,2435.802,2412.149,2346.727,2411.793,2401.843,2441.612,2448.868,2348.76
40,2545.988,2641.714,2609.958,2632.072,2390.143,2846.69,2877.572,2813.619,2796.923,2399.262,2469.042,2453.077,2447.149,2459.488,2398.089,2667.583,2631.6,2630.933,2628.75,2411.167,2378.876,2388.884,2436.967,2401.603,2354.132,2406.041,2402,2446.107,2445.587,2349.438
41,2553.315,2639.494,2613.238,2646.607,2387.28,2853.613,2878.048,2820.625,2799.315,2400.952,2464.202,2447.839,2449.905,2469.803,2399.792,2662.3,2625.2,2644.017,2619.383,2408.967,2378.612,2397.058,2433.826,2412.868,2353.083,2411.149,2402.661,2446.157,2444.81,2351.694
42,2563.572,2638.464,2611.827,2627.053,2392.488,2848.935,2876.405,2818.458,2796.756,2401.155,2463.935,2453.381,2447.976,2462.685,2399.185,2654.15,2634.267,2634.467,2629.217,2412.983,2376.694,2398.57,2440.017,2405.322,2348.719,2408.364,2405.322,2443.57,2454.207,2358.231
43,2556.506,2641.292,2611.851,2629.072,2389.161,2847.155,2870.643,2821.065,2794.833,2400.827,2459.976,2452.714,2445.548,2465.685,2399.72,2657.067,2629.433,2631,2624.883,2413.8,2385.86,2394.512,2435.124,2403.157,2353.702,2416.479,2408.322,2444.777,2451.298,2354.14
44,2557.601,2642.315,2615.655,2626.762,2388.935,2850.899,2873.405,2820.393,2804.542,2403.333,2463.595,2454.69,2445.726,2461.262,2398.822,2661.433,2639.267,2638.95,2607.767,2406.917,2383.636,2389.306,2445.339,2406.901,2351.033,2406.281,2403.248,2448.901,2446.132,2358.917
45,2565.947,2641.553,2605.643,2637.393,2391.155,2848.518,2870.452,2827.744,2795.97,2402.042,2469.643,2454.286,2443.649,2464.375,2396.292,2653.633,2637.217,2632.333,2617.867,2409.333,2378.711,2395,2432.769,2402.669,2349.529,2407.579,2405.14,2440.868,2446.512,2356.405
46,2564.803,2642.619,2606.845,2642.298,2393.083,2848.94,2857.917,2826.411,2793.97,2398.423,2471.303,2457.798,2443.19,2459.232,2398.625,2661.017,2624.3,2640.817,2625.717,2405.4,2379.86,2391.372,2438.562,2410.686,2351.57,2405.587,2406.231,2447.471,2452.107,2354.322
47,2565.464,2642.31,2606.476,2632.565,2390.077,2851.744,2860.518,2827.631,2796.303,2403.798,2467.22,2454.524,2442.649,2465.75,2401.185,2658.2,2630.967,2637.483,2620.017,2413.983,2385.264,2392.033,2438.008,2406.57,2355.397,2412.95,2398.736,2438.983,2446.711,2347.694
48,2561.958,2638.822,2607.47,2635.601,2390.476,2854.208,2862.036,2830.161,2795.482,2404.768,2469.31,2449.988,2443.447,2461.167,2402.786,2663.5,2623.85,2632.633,2611.817,2411.833,2384.24,2392.256,2435.57,2410.57,2349.504,2408.479,2402.694,2438.62,2451.959,2352.24
49,2556.31,2640.048,2600.839,2634.292,2390.458,2856.577,2866.238,2834.244,2800.708,2404.53,2473.732,2454.286,2443.482,2468.268,2397.845,2660.75,2625.65,2647.1,2622.2,2409.867,2385.455,2390.488,2436.76,2405.347,2351.785,2407.975,2406.579,2434.43,2452.397,2354.331
50,2559.06,2636.149,2609.178,2642.387,2391.565,2853.697,2868.411,2837.976,2801.417,2404.226,2475.673,2451.56,2443.923,2462.762,2401.803,2663.05,2617.383,2641.033,2616.117,2408.35,2381.661,2392.802,2438.752,2405.702,2353.645,2407.355,2401.876,2433.107,2456.388,2354.421
51,2559.702,2631.494,2611.369,2644.893,2386.077,2842.923,2864.572,2832.53,2801.815,2403.369,2470.911,2456.732,2439.197,2460.25,2399.494,2667.033,2622.567,2636.95,2624.733,2406.317,2387.628,2393.86,2438.116,2407.231,2349.793,2410.273,2403.512,2436.744,2445.38,2360.769
52,2560.845,2631.405,2609.928,2640.322,2395.286,2846.458,2860.958,2838.286,2789.655,2401.887,2471.595,2454.786,2446.607,2456.917,2401.024,2659.033,2615.367,2639.483,2611.2,2416.217,2384.694,2395.76,2438.884,2406.793,2356.19,2409.686,2404.537,2442.57,2454.248,2357.347
