Slice,arsR,arsR,arsR,arsR,arsRBG,zntA,zntA,zntA,zntA,zntABG,zraP,zraP,zraP,zraP,zraPBG,cusC,cusC,cusC,cusC,cusCBG,merR,merR,merR,merR,merRBG,U139,U139,U139,U139,U139BG
40,2659.988,2647.399,2638.548,2649.714,2514.28,2732.464,2745.78,2832.119,2875.738,2500.178,2510.143,2496.137,2484.053,2474.572,2476.345,2609.367,2597.45,2569.767,2585.183,2444.633,2499.388,2492.818,2501.579,2506.446,2492.099,2541.893,2533.099,2537.818,2530.124,2522.76
41,2663.607,2656.333,2642.03,2640.72,2510.345,2732.572,2734.167,2835.47,2886.458,2496.738,2506.798,2498.673,2490.911,2482.738,2473.482,2603.517,2609.517,2578.267,2589.4,2445.217,2493.413,2493.587,2496.554,2505.537,2478.24,2548.653,2531.843,2531.851,2536.694,2520.182
42,2659.851,2651.06,2643.476,2646.952,2515.101,2730.774,2736.452,2838.839,2888.857,2499.143,2501.774,2498.81,2490.768,2480.095,2478.03,2603.9,2610.467,2561.233,2591.633,2449.75,2508.934,2490.479,2496.488,2508.182,2484.107,2545.81,2536.372,2533.19,2533.62,2531.198
43,2662.708,2654.5,2639.393,2645.113,2514.512,2725.155,2737.447,2825.976,2892.202,2500.708,2505.488,2495.994,2487.197,2480.107,2466.851,2603.933,2608.367,2573.483,2590.083,2434.333,2499.405,2487.719,2500.777,2506.066,2489.14,2541.86,2531.306,2531.678,2534.934,2517.421
44,2659.458,2658.405,2648.19,2643.333,2516.917,2726.119,2737.447,2820.405,2895.143,2501.083,2505.06,2493.649,2490.869,2478.214,2476.589,2600.533,2603.2,2575.517,2580.55,2450.767,2499.785,2482.678,2498.909,2504.479,2487.289,2544.05,2532.95,2533.413,2532.017,2523.884
45,2659.476,2655.22,2644.655,2638.762,2512.839,2724.56,2732.774,2817.393,2890.97,2501.964,2504.827,2498.339,2488.577,2477.303,2473.042,2610.017,2602.217,2581.117,2596.967,2445.55,2500.727,2486.355,2497.868,2506.521,2486.322,2544.298,2532.074,2538.231,2533.529,2521.636
46,2658.185,2649.095,2641.447,2642.476,2514.143,2722.107,2723.494,2813.375,2903.244,2502.22,2499.405,2501.101,2490.238,2478.065,2473.577,2602.783,2607.733,2569.783,2598.083,2434.567,2495.322,2491.314,2492.306,2510.099,2487.983,2547.033,2535.669,2533.074,2532.884,2519.678
47,2658.077,2644.202,2643.411,2642.292,2510.69,2723.488,2724.47,2811.738,2907.845,2497.625,2505.095,2494.81,2488.173,2477.208,2474.089,2611.017,2606.75,2574.917,2601.25,2440.65,2498.322,2491.364,2498.504,2504.273,2489.058,2549.537,2534.033,2526.868,2528.793,2524.471
48,2660.018,2655.798,2643.119,2642.803,2520.131,2720.655,2730.024,2811.899,2912.351,2499.565,2505.72,2494.447,2494.363,2478.036,2475.351,2595.25,2606.5,2582.733,2597.433,2445.25,2497.653,2489.826,2499.405,2498.752,2485.322,2545.157,2532.537,2527.058,2528.785,2520.876
49,2659.845,2657.506,2643.952,2639.31,2516.214,2721.089,2730.452,2812.072,2906.226,2497.863,2500.322,2493.78,2492.065,2480.423,2475.56,2606.383,2609.883,2576.883,2596.267,2442.217,2494.413,2488.289,2496.43,2504.802,2486.372,2539.091,2528.537,2533.975,2542.099,2525.579
